stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
39.798758,51618,-86.102534,51618,,,,22nd St & Sherman Dr,0,
39.820432,10269,-85.992039,10269,,,,3500 N Mitthoefer,0,
39.794179,51612,-86.112021,51612,,,,20th St & Dearborn St,0,
39.794202,51613,-86.109633,51613,,,,20th St & Houston St,0,
39.79259,51610,-86.116879,51610,,,,Brookside Ave & Rural St,0,
39.793562,51611,-86.114633,51611,,,,Brookside Ave & Oxford St,0,
39.798672,51616,-86.107156,51616,,,,Olney St & 22nd St,0,
39.798755,51617,-86.104897,51617,,,,22nd St & Avondale Pl,0,
39.794191,51614,-86.107281,51614,,,,20th St & Olney St,0,
39.795878,51615,-86.107089,51615,,,,Olney St & 21st St,0,
39.810735,51859,-86.114887,51859,,,,30th St - 3000 E,0,
39.81073,51854,-86.124127,51854,,,,30th St & Hillside Ave,0,
39.780315,11018,-86.224488,11018,,,,10th St & Luett Ave,0,
39.810736,51857,-86.118229,51857,,,,30th St & Eastern Ave,0,
39.810707,51850,-86.129716,51850,,,,30th St & Schofield Ave,0,
39.810721,51851,-86.127716,51851,,,,30th St & Manlove Ave,0,
39.81072,51852,-86.126502,51852,,,,30th St & Baltimore Ave,0,
39.8035,50328,-86.187566,50328,,,,Harding St & 26th St,0,
39.788687,11756,-86.116509,11756,,,,Rural St & 16th St,0,
39.779556,11755,-86.116631,11755,,,,Rural St & 09th St,0,
39.777736,11754,-86.116615,11754,,,,Rural St & Saint Clair Ct,0,
39.775894,11753,-86.1166,11753,,,,Rural St & North St,0,
39.774875,11752,-86.116562,11752,,,,Rural St & Michigan St,0,
39.771689,11751,-86.116412,11751,,,,Rural St & New York St,0,
39.768378,11750,-86.102104,11750,,,,Sherman Dr & Washington St,0,
39.78922,12006,-86.188056,12006,,,,16th St & Harding St,0,
39.789261,12007,-86.190505,12007,,,,16th St & Riverside Dr E,0,
39.788725,12004,-86.180263,12004,,,,16th St & Montcalm St,0,
39.788694,12005,-86.184013,12005,,,,16th St & Indiana Ave,0,
39.788425,12002,-86.165263,12002,,,,16th St & Senate Blvd,0,
39.788394,12003,-86.173749,12003,,,,16th St & Fall Creek Pkwy,0,
39.788427,12000,-86.160198,12000,,,,16th St & Hall Pl,0,
39.788419,12001,-86.162265,12001,,,,16th St & Capitol Ave,0,
39.86255,11595,-86.117575,11595,,,,Rural St & Kessler Blvd E Dr,0,
39.780842,11014,-86.237435,11014,,,,10th St - 4600 W,0,
39.770965,51104,-86.143652,51104,,,,New York St & Davidson St,0,
39.862458,11596,-86.119915,11596,,,,Kessler Blvd E Dr & Private Dr,0,
39.862353,11591,-86.118859,11591,,,,Kessler Blvd E Dr & Rural St,0,
39.862311,11590,-86.121695,11590,,,,Kessler Blvd E Dr & Keystone Ave,0,
39.866111,11593,-86.117488,11593,,,,Rural St - 6100 N Glendale Town Center,0,
39.863053,11592,-86.117414,11592,,,,Rural St & Kessler Blvd E Dr,0,
39.787733,51606,-86.126064,51606,,,,Brookside Ave & Samoa St,0,
